iter	Passed	Remaining
0	159	158863
1	160	80218
2	162	53862
3	163	40713
4	165	32998
5	167	27796
6	169	24061
7	171	21275
8	173	19099
9	174	17317
10	176	15859
11	178	14656
12	180	13685
13	182	12833
14	183	12074
15	185	11413
16	187	10851
17	189	10329
18	190	9845
19	191	9404
20	193	9042
21	195	8700
22	197	8386
23	199	8100
24	200	7834
25	202	7581
26	203	7343
27	205	7116
28	206	6911
29	208	6737
30	210	6578
31	212	6416
32	214	6272
33	216	6146
34	217	5997
35	218	5857
36	220	5732
37	222	5624
38	223	5512
39	225	5403
40	226	5305
41	228	5213
42	229	5118
43	231	5022
44	232	4938
45	234	4857
46	236	4793
47	238	4727
48	241	4694
49	243	4630
50	245	4568
51	246	4499
52	248	4432
53	249	4368
54	250	4310
55	252	4255
56	254	4205
57	256	4170
58	258	4123
59	260	4073
60	261	4027
61	263	3980
62	264	3938
63	267	3916
64	269	3877
65	271	3843
66	273	3802
67	274	3762
68	276	3728
69	278	3699
70	279	3661
71	282	3646
72	285	3623
73	287	3592
74	288	3558
75	290	3527
76	291	3496
77	293	3465
78	294	3434
79	298	3429
80	300	3409
81	301	3380
82	302	3345
83	304	3318
84	305	3292
85	307	3268
86	309	3245
87	313	3244
88	314	3222
89	316	3201
90	318	3179
91	319	3157
92	321	3133
93	322	3110
94	324	3090
95	326	3074
96	328	3057
97	330	3043
98	332	3025
99	334	3007
100	335	2989
101	337	2971
102	339	2953
103	341	2945
104	344	2932
105	345	2917
106	347	2900
107	349	2882
108	351	2870
109	352	2855
110	355	2844
111	358	2839
112	360	2825
113	361	2811
114	363	2797
115	365	2784
116	367	2771
117	370	2771
118	372	2757
119	374	2744
120	376	2732
121	377	2715
122	379	2702
123	381	2691
124	382	2677
125	385	2675
126	387	2662
127	388	2649
128	390	2636
129	391	2623
130	393	2607
131	394	2593
132	395	2581
133	397	2567
134	399	2557
135	401	2550
136	403	2540
137	405	2531
138	406	2520
139	408	2509
140	409	2497
141	410	2482
142	412	2471
143	415	2472
144	417	2464
145	419	2454
146	421	2445
147	422	2433
148	424	2422
149	425	2411
150	427	2402
151	430	2401
152	432	2395
153	434	2384
154	435	2375
155	437	2365
156	438	2354
157	440	2346
158	441	2336
159	444	2334
160	445	2322
161	447	2315
162	449	2308
163	450	2298
164	452	2288
165	453	2278
166	454	2268
167	456	2260
168	459	2261
169	462	2255
170	463	2247
171	465	2239
172	466	2231
173	468	2223
174	470	2216
175	472	2213
176	475	2209
177	476	2201
178	478	2192
179	479	2184
180	480	2176
181	482	2168
182	483	2160
183	485	2151
184	489	2157
185	492	2154
186	494	2149
187	495	2142
188	497	2135
189	500	2131
190	503	2133
191	506	2130
192	507	2123
193	509	2116
194	511	2110
195	513	2104
196	514	2097
197	517	2094
198	519	2090
199	521	2085
200	523	2079
201	524	2073
202	526	2067
203	528	2061
204	529	2054
205	532	2051
206	534	2046
207	535	2040
208	537	2033
209	538	2026
210	540	2020
211	541	2013
212	543	2007
213	545	2003
214	547	1999
215	549	1993
216	550	1987
217	552	1981
218	553	1974
219	555	1969
220	557	1965
221	559	1961
222	561	1957
223	563	1953
224	565	1948
225	567	1942
226	568	1936
227	570	1930
228	571	1924
229	572	1918
230	574	1912
231	576	1907
232	577	1902
233	579	1896
234	580	1890
235	582	1886
236	584	1881
237	585	1875
238	587	1869
239	588	1864
240	590	1858
241	593	1857
242	594	1853
243	596	1848
244	598	1844
245	600	1839
246	601	1833
247	603	1828
248	605	1826
249	607	1822
250	609	1817
251	610	1811
252	611	1806
253	613	1802
254	615	1797
255	617	1793
256	619	1790
257	620	1785
258	623	1783
259	625	1779
260	626	1774
261	628	1770
262	630	1766
263	633	1765
264	635	1761
265	637	1759
266	639	1755
267	640	1750
268	642	1745
269	644	1742
270	646	1739
271	648	1735
272	650	1731
273	651	1727
274	653	1722
275	654	1717
276	656	1713
277	658	1711
278	660	1707
279	662	1703
280	664	1699
281	665	1695
282	667	1691
283	670	1689
284	671	1685
285	673	1681
286	674	1676
287	676	1672
288	678	1668
289	680	1665
290	682	1662
291	683	1657
292	685	1653
293	686	1649
294	688	1646
295	690	1641
296	692	1638
297	694	1635
298	696	1632
299	697	1628
300	699	1624
301	701	1620
302	702	1616
303	704	1612
304	705	1608
305	707	1604
306	710	1602
307	711	1598
308	713	1594
309	714	1590
310	716	1587
311	718	1583
312	719	1579
313	722	1577
314	724	1575
315	726	1572
316	728	1570
317	730	1567
318	732	1563
319	733	1559
320	735	1555
321	737	1552
322	739	1549
323	741	1546
324	742	1542
325	744	1538
326	745	1534
327	747	1531
328	749	1528
329	750	1524
330	753	1522
331	754	1518
332	757	1516
333	759	1513
334	760	1510
335	762	1505
336	763	1502
337	765	1499
338	768	1497
339	769	1494
340	771	1491
341	773	1488
342	775	1484
343	776	1480
344	777	1476
345	779	1473
346	783	1473
347	785	1471
348	787	1468
349	789	1465
350	790	1461
351	792	1458
352	794	1455
353	796	1453
